2023-04-20 00:37:47 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Cannot delete or update a parent row: a foreign key constraint fails (`articles_system`.`users`, CONSTRAINT `users_ibfk_1` FOREIGN KEY (`group_id`) REFERENCES `groups` (`id`)) | F:\xampp\htdocs\php_project\PHP-Project\Models\MySQLHandler.php | 159
2023-04-20 01:37:23 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 8
2023-04-20 01:37:41 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 8
2023-04-20 01:39:42 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:47:48 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 8
2023-04-20 01:48:31 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:48:46 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:48:49 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:49:05 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:50:39 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 9
2023-04-20 01:50:52 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 10
2023-04-20 01:51:21 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:51:50 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:51:57 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:52:31 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:52:38 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:53:05 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:53:40 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
2023-04-20 01:56:21 | ::1 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0 | Call to undefined function validate_group() | F:\xampp\htdocs\php_project\PHP-Project\controllers\groups\store.php | 11
